Id,SalePrice
1001,59579.59565746668
1002,63096.38799917209
1003,254670.59697617823
1004,149650.31548868446
1005,227618.49869810813
1006,123155.1525447201
1007,200042.83237306564
1008,64683.82211767067
1009,248566.61258758022
1010,106739.94545692089
1011,112426.45168382418
1012,117864.71823504567
1013,155253.9654031077
1014,113188.05100728595
1015,126832.97660521581
1016,222636.9978984224
1017,226486.17964405357
1018,213815.8218398753
1019,190989.70788329327
1020,210340.9147913009
1021,148875.0190757534
1022,221976.06057469826
1023,106856.34039772721
1024,214738.3057766871
1025,364314.9724641952
1026,118503.86163777881
1027,169472.56307420693
1028,283039.5659922038
1029,122738.12687535048
1030,131625.27016197867
1031,110213.85580075835
1032,291628.4482921853
1033,292092.51345291035
1034,248500.51847515907
1035,97673.20069790771
1036,67444.3692214822
1037,300581.9120684855
1038,284836.7593079307
1039,89566.76407176093
1040,58564.23103822325
1041,211229.74376968993
1042,168504.98776120786
1043,206163.39714891487
1044,271752.73500884743
1045,307509.8230386337
1046,129142.68900943664
1047,352790.7547883247
1048,134639.27478458825
1049,196194.44545109314
1050,107810.19644743786
1051,190449.2302694316
1052,199158.1840315638
1053,203379.43798638578
1054,154617.15674080444
1055,265383.45211278903
1056,208254.37040805537
1057,223388.66564610507
1058,226497.69669772522
1059,324804.31280095945
1060,187362.31444248906
1061,229058.45591860614
1062,106959.8284743973
1063,125355.64472165587
1064,136810.19272132055
1065,135598.48958603223
1066,251353.5531311205
1067,178073.0239209158
1068,181572.28653602954
1069,219954.4757626946
1070,120161.14851858024
1071,134220.30968431942
1072,152443.10323936283
1073,122025.92495102459
1074,149547.05525639164
1075,206003.51290761097
1076,172274.35209324514
1077,163768.21025362983
1078,136874.1089445334
1079,153882.13684567483
1080,115282.79728438891
1081,160031.75671434333
1082,121058.29677572311
1083,209545.52650100156
1084,184149.27149371174
1085,168767.51573630422
1086,165398.96333517972
1087,70505.79890223243
1088,279862.4983765555
1089,182711.06997201173
1090,220116.4789964829
1091,57733.593788924394
